Hourly measurement data from Defra on,19/03/2025  00:00:00
Site Name,London Bloomsbury
Site Type, Urban Background
Region, Greater London
Latitude, 51.52229
Longitude, -0.125889
Notes:, [1] All Data GMT hour ending;  [2] Some shorthand is used, V = Verified, P = Provisionally Verified, N = Not Verified, S = Suspect, [3] Unit of measurement (for pollutants) = ugm-3
Date,Time,Nitrogen dioxide,Status,Ozone,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Sulphur dioxide,Status
2024-01-01,,14.130027916666666666666666667,V,58.799698333333333333333333333,V,no data,V,no data,V,1.06409625,V
2024-01-02,,15.31118625,V,67.37427875,V,-54.045833333333333333333333333,V,-55.761958333333333333333333333,V,1.0529441666666666666666666667,V
2024-01-03,,20.68530625,V,57.878765416666666666666666667,V,10.95625,V,5.9267916666666666666666666667,V,0.9269516666666666666666666667,V
2024-01-04,,26.294858333333333333333333333,V,46.145020416666666666666666667,V,10.770833333333333333333333333,V,5.620125,V,0.9285858333333333333333333333,V
2024-01-05,,29.6013275,V,32.04623,V,9.079166666666666666666666667,V,6.5802083333333333333333333333,V,0.9320441666666666666666666667,V
2024-01-06,,27.0773275,V,29.903624583333333333333333333,V,7.6177083333333333333333333333,V,5.3301666666666666666666666667,V,-3.16945875,V
2024-01-07,,21.180707083333333333333333333,V,53.181941666666666666666666667,V,8.955208333333333333333333333,V,4.7591666666666666666666666667,V,0.5992570833333333333333333333,V
2024-01-08,,22.892009166666666666666666667,V,48.4054275,V,10.022916666666666666666666667,V,5.095375,V,0.5736404166666666666666666667,V
2024-01-09,,23.484091666666666666666666667,V,47.59398125,V,15.586458333333333333333333333,V,7.5099166666666666666666666667,V,0.8457204166666666666666666667,V
2024-01-10,,18.322105,V,43.154935416666666666666666667,V,14.944791666666666666666666667,V,6.09075,V,-11.519437083333333333333333333,V
2024-01-11,,37.403378333333333333333333333,V,27.427017083333333333333333333,V,13.517708333333333333333333333,V,8.134791666666666666666666667,V,0.6137179166666666666666666667,V
2024-01-12,,25.94699375,V,44.798615,V,11.794791666666666666666666667,V,6.879,V,0.3069908333333333333333333333,V
2024-01-13,,31.25760625,V,36.86224375,V,18.330208333333333333333333333,V,15.207291666666666666666666667,V,1.1829183333333333333333333333,V
2024-01-14,,32.061038333333333333333333333,V,35.404965416666666666666666667,V,13.510416666666666666666666667,V,10.656458333333333333333333333,V,0.8488195833333333333333333333,V
2024-01-15,,46.482142083333333333333333333,V,3.34973375,V,11.277083333333333333333333333,V,5.3518333333333333333333333333,V,0.7196579166666666666666666667,V
2024-01-16,,45.114705,V,30.090029583333333333333333333,V,16.38125,V,9.765208333333333333333333333,V,1.1169058333333333333333333333,V
2024-01-17,,54.980730416666666666666666667,V,19.54053875,V,19.132291666666666666666666667,V,10.84025,V,1.8358270833333333333333333333,V
2024-01-18,,59.480557916666666666666666667,V,19.581420416666666666666666667,V,16.508333333333333333333333333,V,9.28275,V,1.9516808333333333333333333333,V
2024-01-19,,51.620844166666666666666666667,V,21.387253333333333333333333333,V,16.352083333333333333333333333,V,10.807875,V,1.0105191666666666666666666667,V
2024-01-20,,21.392309166666666666666666667,V,53.316374166666666666666666667,V,12.208333333333333333333333333,V,7.0185,V,0.5749429166666666666666666667,V
2024-01-21,,10.368863333333333333333333333,V,64.810357916666666666666666667,V,15.530208333333333333333333333,V,9.282791666666666666666666667,V,0.9921745833333333333333333333,V
2024-01-22,,16.729212083333333333333333333,V,66.85941625,V,15.173958333333333333333333333,V,7.648375,V,1.48294875,V
2024-01-23,,16.110874583333333333333333333,V,54.46459375,V,11.128125,V,5.8372083333333333333333333333,V,0.7724495833333333333333333333,V
2024-01-24,,23.152399583333333333333333333,V,62.947012916666666666666666667,V,26.760416666666666666666666667,V,13.958458333333333333333333333,V,0.7883420833333333333333333333,V
2024-01-25,,23.32823125,V,42.706594583333333333333333333,V,12.84375,V,7.735875,V,0.80699625,V
2024-01-26,,33.148052916666666666666666667,V,47.347983333333333333333333333,V,11.853125,V,5.7546666666666666666666666667,V,0.7835125,V
2024-01-27,,29.822522916666666666666666667,V,40.054670416666666666666666667,V,15.239583333333333333333333333,V,8.808958333333333333333333333,V,0.81868375,V
2024-01-28,,33.476149166666666666666666667,V,25.726515,V,14.804166666666666666666666667,V,10.677125,V,0.8126104166666666666666666667,V
2024-01-29,,25.705242916666666666666666667,V,28.619587083333333333333333333,V,21.947916666666666666666666667,V,14.882166666666666666666666667,V,0.24774125,V
2024-01-30,,29.547557083333333333333333333,V,42.26657125,V,8.190625,V,4.3189583333333333333333333333,V,0.8628683333333333333333333333,V
2024-01-31,,16.94624625,V,58.216233333333333333333333333,V,8.992708333333333333333333333,V,5.58575,V,0.8421116666666666666666666667,V
2024-02-01,,33.698419166666666666666666667,V,47.708318333333333333333333333,V,17.078125,V,8.301041666666666666666666667,V,0.7643770833333333333333333333,V
2024-02-02,,19.954629166666666666666666667,V,54.43618375,V,6.7395833333333333333333333333,V,3.8188333333333333333333333333,V,0.4172766666666666666666666667,V
2024-02-03,,18.070573333333333333333333333,V,57.99033125,V,5.959375,V,2.9992083333333333333333333333,V,0.94248625,V
2024-02-04,,14.121864166666666666666666667,V,59.453151666666666666666666667,V,9.795833333333333333333333333,V,4.64825,V,1.2344883333333333333333333333,V
2024-02-05,,10.477002916666666666666666667,V,65.226821666666666666666666667,V,21.755208333333333333333333333,V,9.279791666666666666666666667,V,1.2506554166666666666666666667,V
