Hourly measurement data from Defra on,19/03/2025
Site Name,London Bloomsbury
Site Type, Urban Background
Region, Greater London
Latitude, 51.52229
Longitude, -0.125889
Notes:, [1] All Data GMT hour ending;  [2] Some shorthand is used, V = Verified, P = Provisionally Verified, N = Not Verified, S = Suspect, [3] Unit of measurement (for pollutants) = ugm-3
Date,PM10 particulate matter (Hourly measured),Status
2024-01-01,no data,V
2024-01-02,-54.045833333333333333333333333,V
2024-01-03,10.95625,V
2024-01-04,10.770833333333333333333333333,V
2024-01-05,9.079166666666666666666666667,V
2024-01-06,7.6177083333333333333333333333,V
2024-01-07,8.955208333333333333333333333,V
2024-01-08,10.022916666666666666666666667,V
2024-01-09,15.586458333333333333333333333,V
2024-01-10,14.944791666666666666666666667,V
2024-01-11,13.517708333333333333333333333,V
2024-01-12,11.794791666666666666666666667,V
2024-01-13,18.330208333333333333333333333,V
2024-01-14,13.510416666666666666666666667,V
2024-01-15,11.277083333333333333333333333,V
2024-01-16,16.38125,V
2024-01-17,19.132291666666666666666666667,V
2024-01-18,16.508333333333333333333333333,V
2024-01-19,16.352083333333333333333333333,V
2024-01-20,12.208333333333333333333333333,V
2024-01-21,15.530208333333333333333333333,V
2024-01-22,15.173958333333333333333333333,V
2024-01-23,11.128125,V
2024-01-24,26.760416666666666666666666667,V
2024-01-25,12.84375,V
2024-01-26,11.853125,V
2024-01-27,15.239583333333333333333333333,V
2024-01-28,14.804166666666666666666666667,V
2024-01-29,21.947916666666666666666666667,V
2024-01-30,8.190625,V
2024-01-31,8.992708333333333333333333333,V
2024-02-01,17.078125,V
2024-02-02,6.7395833333333333333333333333,V
2024-02-03,5.959375,V
2024-02-04,9.795833333333333333333333333,V
2024-02-05,21.755208333333333333333333333,V
2024-02-06,20.813541666666666666666666667,V
2024-02-07,13.45625,V
2024-02-08,11.959375,V
2024-02-09,11.33125,V
2024-02-10,9.000,V
2024-02-11,11.417708333333333333333333333,V
2024-02-12,8.683333333333333333333333333,V
2024-02-13,7.4916666666666666666666666667,V
2024-02-14,2.2166666666666666666666666667,V
2024-02-15,9.273958333333333333333333333,V
2024-02-16,9.421875,V
2024-02-17,7.7666666666666666666666666667,V
2024-02-18,5.246875,V
2024-02-19,11.920833333333333333333333333,V
2024-02-20,13.977083333333333333333333333,V
2024-02-21,7.2927083333333333333333333333,V
2024-02-22,6.16875,V
2024-02-23,6.6666666666666666666666666667,V
2024-02-24,11.21875,V
2024-02-25,15.017708333333333333333333333,V
2024-02-26,8.151041666666666666666666667,V
2024-02-27,9.38125,V
2024-02-28,-5.1125,V
2024-02-29,5.2958333333333333333333333333,V
2024-03-01,7.240625,V
2024-03-02,7.1864583333333333333333333333,V
2024-03-03,10.108333333333333333333333333,V
2024-03-04,9.263541666666666666666666667,V
2024-03-05,10.7625,V
2024-03-06,19.771875,V
2024-03-07,37.471875,V
2024-03-08,37.648958333333333333333333333,V
2024-03-09,19.757291666666666666666666667,V
2024-03-10,16.64375,V
2024-03-11,42.019791666666666666666666667,V
2024-03-12,11.819791666666666666666666667,V
2024-03-13,7.59375,V
2024-03-14,9.426041666666666666666666667,V
2024-03-15,10.452083333333333333333333333,V
2024-03-16,6.9291666666666666666666666667,V
2024-03-17,7.5302083333333333333333333333,V
2024-03-18,9.017708333333333333333333333,V
2024-03-19,6.4979166666666666666666666667,V
2024-03-20,11.954166666666666666666666667,V
2024-03-21,11.688541666666666666666666667,V
2024-03-22,12.105208333333333333333333333,V
2024-03-23,7.8875,V
2024-03-24,8.638541666666666666666666667,V
2024-03-25,13.3375,V
2024-03-26,14.883333333333333333333333333,V
2024-03-27,6.8552083333333333333333333333,V
2024-03-28,10.088541666666666666666666667,V
2024-03-29,8.891666666666666666666666667,V
2024-03-30,8.110416666666666666666666667,V
2024-03-31,22.696739130434782608695652174,V
2024-04-01,9.283333333333333333333333333,V
2024-04-02,6.4541666666666666666666666667,V
2024-04-03,5.4989583333333333333333333333,V
2024-04-04,9.8375,V
2024-04-05,12.166666666666666666666666667,V
2024-04-06,10.380208333333333333333333333,V
2024-04-07,15.303125,V
2024-04-08,12.138541666666666666666666667,V
2024-04-09,6.8666666666666666666666666667,V
2024-04-10,9.79375,V
2024-04-11,5.7510416666666666666666666667,V
2024-04-12,9.170833333333333333333333333,V
2024-04-13,8.301041666666666666666666667,V
2024-04-14,7.875,V
2024-04-15,7.977083333333333333333333333,V
2024-04-16,7.3677083333333333333333333333,V
2024-04-17,6.8166666666666666666666666667,V
2024-04-18,7.1989583333333333333333333333,V
2024-04-19,8.714583333333333333333333333,V
2024-04-20,12.015625,V
2024-04-21,12.151041666666666666666666667,V
2024-04-22,10.682291666666666666666666667,V
2024-04-23,9.535416666666666666666666667,V
2024-04-24,9.408333333333333333333333333,V
2024-04-25,12.955208333333333333333333333,V
2024-04-26,11.510416666666666666666666667,V
2024-04-27,8.573958333333333333333333333,V
2024-04-28,4.4052083333333333333333333333,V
2024-04-29,8.645833333333333333333333333,V
2024-04-30,8.822916666666666666666666667,V
2024-05-01,25.645833333333333333333333333,V
2024-05-02,26.070833333333333333333333333,V
2024-05-03,6.0697916666666666666666666667,V
2024-05-04,7.621875,V
2024-05-05,9.0875,V
2024-05-06,13.453125,V
2024-05-07,15.236458333333333333333333333,V
2024-05-08,19.947916666666666666666666667,V
2024-05-09,17.015625,V
2024-05-10,19.340625,V
2024-05-11,27.876041666666666666666666667,V
2024-05-12,22.971875,V
2024-05-13,13.348958333333333333333333333,V
2024-05-14,9.646875,V
2024-05-15,8.86875,V
